name|university
Bartosz Krawczyk|University of Arkansas   Fayetteville
Jean-Louis Imbert|Oregon Health & Science University
Gilles Lasnier|Free University of Berlin
Clement T. Yu|National Chiao Tung University
Gennaro Costagliola|University of Wyoming
Georges Da Costa|Queen's University Belfast
Monique Becker|University of Pisa
Larbi Kzaz|University of Maryland Baltimore
Hyeonbae Kang|Colorado State University   Fort Collins
Vittorio Fuccella|Drexel University
Pablo Castells|University of Genoa
Loubna Bousselamti|University at Buffalo The State University of New York
Belén Melián-Batista|University of Leeds
Nicola Ferrari|Northwestern University
Walter S. Brainerd|University of Pennsylvania
Nelson Souto Rosa|University of Miami
Kai Zhang 0015|Northwestern University
Massimo Paolucci 0001|Oregon Health & Science University
Alfred Inselberg|Julius Maximilian's University of Würzburg
J.-B. Chang|Washington University in St. Louis
Aline Aboujaoudé|University of California San Francisco
Frithjof Dau|Tel Aviv University
Tao Zhan|Carnegie Mellon University
Ivano Lauriola|University of Texas at Austin
Georgina Gallizo|National Cheng Kung University
Jean-Rémy Chardonnet|George Mason University
Faten Mkacher|Beijing Normal University
V. Ch. Venkaiah|Syracuse University
Ana Karla A. de Medeiros|University of Bergen
Said Elnaffar|Paris Descartes University
N. Manikanthababu|Technical University of Denmark
Yannis Manolopoulos|Washington State University Pullman
Didier Aubert|University of Navarra
Luc Martens|Free University of Berlin
Hakan Kuntman|University of Amsterdam
Miyoun Jung|University of Minnesota Twin Cities
Dong-Han Kim|University of Granada
Daniele Ronzani|École normale supérieure de Lyon
Amjad Rattrout|Durham University
Markus Schumacher|University of Delhi
Eduardo Lalla-Ruiz|Keio University
Nam Thoai|Queen's University Belfast
Avraam Chimaris|National and Kapodistrian University of Athens
Simón Castillo|University of Bordeaux I
Haym Hirsh|City University of Hong Kong
Kazunori Minatani|Pontifical Catholic University of Chile
Guido Wirtz|Humboldt University of Berlin
A. Pravin Renold|Royal Institute of Technology
Peter Burggräf|Grenoble Institute of Technology
Francisco José da Silva e Silva|University of Victoria
Hartmut Isselhorst|University of Bern
Günther Pernul|Brandeis University
Dominik Herrmann|Kumamoto University
Simon James|Gwangju Institute of Science and Technology
Ingo Schmitt|Concordia University
Manfred Schmidt-Schauß|Cranfield University
Geetha Meera|Indian Institute of Technology Delhi
Cécile Le Pape|Swedish University of Agricultural Sciences
Dennis E. Shasha|University of Melbourne
Eftim Zdravevski|Chulalongkorn University
Abdelli Abdelkrim|University of Manchester
Justyna Petke|Carnegie Mellon University
Sergio A. Velastin|Pennsylvania State University University Park
Michelle Bergadaà|University of Groningen
Jason Nocks|Wake Forest University
Peishen Qi|Washington State University Pullman
Betsy George|University of Navarra
Heri Ramampiaro|Delft University of Technology
Masayuki Murata|Sun Yat sen University
Junlong Liang|National and Kapodistrian University of Athens
Uwe Dräger|Hebrew University of Jerusalem
Hermann Birkholz|Swiss Federal Institute of Technology in Lausanne
Guadalupe Canahuate|Technical University of Berlin
Tyrone Grandison|Technical University of Madrid
Jürgen Brehm|University of Louisville
Lisbeth Fajstrup|Harvard University
José Fernando Oliveira|Hannover Medical School
Andy Adler|University of Massachusetts Amherst
John K. Debenham|Shanghai Jiao Tong University
Claudia Wenzel|Federal University of Rio de Janeiro
Vadim Ermolayev|University of Twente
Nava Tintarev|University of Victoria
Arcangelo Distante|University of Sydney
Jean-Claude König|Swiss Federal Institute of Technology in Zurich
Takahiro Hara|University of Bordeaux I
Adnan Yassine|Technical University of Munich
Florian Daniel|Otto von Guericke University Magdeburg
Maoguo Gong|Aarhus University
Neil J. Hurley|University of Edinburgh
Girish Suryanarayana|University of Kansas
Varun Dutt|Pompeu Fabra University
Soror Sahri|University of Delhi
Klitos Christodoulou|University of Guelph
Dan-Cristian Rotaru|University of Göttingen
Sergio Damas|University of Trieste
Franck Michel|Catholic University of the Sacred Heart
Ignacio Montes|Aarhus University
Nikolai J. Podlesny|University of Massachusetts Amherst
David Atienza|University of Amsterdam
Markus Böhm 0002|University of Duisburg Essen
Alexander V. Boukhanovsky|St George's University of London
Xingchen Zhang|Joseph Fourier University
Demetris Trihinas|University of Dundee
Daniel Pfeifer|University of Stuttgart
Andranick Tanguiane|Pierre and Marie Curie University
Gunnar Piho|University of Nebraska Medical Center
Ismail Berrada|University of Arkansas   Fayetteville
Haobing Liu|Complutense University of Madrid
Taryn Walker|Xi'an Jiaotong University
Kun Wang|Yonsei University
Alexandre Campo|Huazhong University of Science and Technology
Michael Seger|Pontifical Catholic University of Chile
Leopoldo E. Bertossi|Nankai University
Michael Eulenstein|University of Liverpool
Michael Peter Kennedy|Wesleyan University
Poonam Rajput|University of Rennes 1
Mohamed Nadjib Mami|University at Albany SUNY
Martin Rohde|Michigan State University
Peter Baumann|University of Groningen
Maria Cecília Calani Baranauskas|Saarland University
R. E. Kurt Stirewalt|Brandeis University
Carlo Sartiani|Dalhousie University
Samir Tata|University of Rostock
Robert Tolksdorf|National and Kapodistrian University of Athens
Sandeep K. S. Gupta|Dalhousie University
Fufang Li|University of Manchester
Imen Khaloul|University of Alabama   Tuscaloosa
Philip R. Van Loocke|Stockholm University
Rodney G. Downey|Nanyang Technological University
Christopher D. Gill|Chonbuk National University
Hans Zwart|University of Texas at San Antonio
Sanjay Kumar Madria|Pusan National University
Saverio Salerno|Scuola Normale Superiore di Pisa
Nathalie Mitton|University of Cologne
Mulagala Sandhya|University of Texas at Dallas
Joel E. Tosado|Waseda University
Zied Aouini|York University
Jens Knoop|Juntendo University
Francesco Garelli|University of Southern Denmark
Davy Suvée|Massachusetts Institute of Technology
David L. Olson|University of Copenhagen
David A. Forsyth|University of Massachusetts Amherst
Nour Assy|Lehigh University
Ritu Arora|Kumamoto University
Florent Nolot|University of Alabama at Birmingham
Christophe Duhamel|Kyoto University
Ángel Corberán|Hokkaido University
Laura Nota|Miami University
Zihong Yuan|University of Birmingham
Luca Foschini 0001|University of British Columbia
Doron A. Peled|University of Florida
Kenneth Letendre|Lehigh University
Pericles Loucopoulos|Julius Maximilian's University of Würzburg
Kaladhar Voruganti|Sogang University
Mohit P. Tahiliani|Medical College of Wisconsin
Xiangsheng Liu|Darmstadt University of Technology
Juan C. García|Osaka City University
Welf Löwe|Free University of Berlin
Brian Neil Levine|Claude Bernard University Lyon 1
Clayton T. Morrison|Nankai University
Gabriele Kern-Isberner|Kansas State University
Ahmed Metwally 0001|University of Massachusetts Amherst
Michael G. Epitropakis|Michigan State University
Jonas Mellin|Pierre and Marie Curie University
Ingo Weber|National Cheng Kung University
Mohammed M. Alani|University of Vienna
Matthias Nickles|University of Turin
Sabrina De Capitani di Vimercati|University of British Columbia
Michael W. Carroll|Case Western Reserve University
János Pach|University of Lorraine
Michael O. Rodgers|Syracuse University
Eric Todd Quinto|University of Alabama   Tuscaloosa
Dennis Quan|Thomas Jefferson University
G. Ceci|Peking University
Robert Spence|University of Manitoba
Atanas Kiryakov|University of North Carolina at Chapel Hill
Jelena Mitrovic|University of Southern California
Thomas Ruf|University of Tsukuba
Andrzej Salwicki|Ben Gurion University of the Negev
Tarcísio da Rocha|California Institute of Technology
Hicham Elasri|Nankai University
Enric Pages|University of Rennes 1
Sofian Maabout|Linköping University
Douglas S. Bridges|Pohang University of Science and Technology
B. R. Purushothama|University of Reading
Stijn Heymans|Weizmann Institute of Science
Simeon J. Simoff|Mines ParisTech
Christian Blum 0001|University of British Columbia
H. Dieter Rombach|Massachusetts Institute of Technology
Steve Laufmann|Thomas Jefferson University
Michel Cotton|Jilin University
K. Chandra Sekaran|Yeshiva University
Premkumar T. Devanbu|Kyushu University
Edward Hermann Haeusler|University of Maryland Baltimore
Jairo Alonso Giraldo|University of Massachusetts Medical School
Sébastien Hélie|University of Texas Southwestern Medical Center
Wolfgang Kilian|Oregon State University
David Tschumperlé|Tongji University
Carlos T. Calafate|Goethe University Frankfurt
Sharanya Sarkar|University of Texas Southwestern Medical Center
Dimitrios S. Nikolopoulos|University of Wisconsin–Madison
Abu Kebbie-Anthony|Colorado School of Mines
Gero Mühl|University of Texas MD Anderson Cancer Center
Wei-Zhi Wu|University of Ulsan
Pasquale Avella|Paris Descartes University
Paola Velardi|University of Kentucky
Mayur Deshpande|University of Nottingham
Philip Lei|Georgia Institute of Technology
Hans-Bernd Kittlaus|Chulalongkorn University
H. W. Schmidt|University of East Anglia
Wennan Zhu|Hong Kong Polytechnic University
Rituraj Singh|Baylor College of Medicine
Ismail Khalil|Saint Petersburg State University
Xi Guo 0001|Dresden University of Technology
Daniel Furtuna|University of Glasgow
Stéphane Bressan|Ben Gurion University of the Negev
Tor Erlend Fægri|University of Bath
Ralf Gutsche|University of Navarra
Bernard Traversat|Texas Tech University (TTU)
Redouane Bouhamoum|University of Seville
Timour Katchaounov|Polytechnic University of Milan
Kiam Tian Seow|College of William and Mary
Jared Oluoch|University of Düsseldorf
Christian Faivre|Cornell University
Margaret Cheney|University of Science and Technology of China
Michael Van Begin|University of Pittsburgh   Pittsburgh Campus
Helmut Schmidt|University of Leeds
Hideki Hayashi|University of California San Diego
Zahi Al Chami|University of Santiago de Compostela
Pierre Hansen|University of Notre Dame
Toshiyuki Amagasa|University of Granada
Suparna Biswas|Columbia University
Fabrizio Orlandi|Tel Aviv University
Fabrizio Ivan Apollonio|Polytechnic University of Milan
Luigi Romano|University of Manchester
Fan Jiang 0001|University of Melbourne
Azeddine Beghdadi|University of Saskatchewan
Vlad Rusu|University of Oxford
Yusuke Yokota|Hannover Medical School
Omar Abou Khaled|Tulane University
Sridhar Gantimahapatruni|Technion – Israel Institute of Technology
Gongde Guo|University of Chile
Zhi-Hua Zhou|University of Naples Federico II
Nan Cao|Colorado School of Mines
Aske Plaat|Baylor College of Medicine
Turkmen Canli|Tokyo Institute of Technology
J. Adrian Bondy|University of Strathclyde
Nadia Bennani|University of Illinois at Chicago
Benjamin Moreau|Creighton University
Evgenia Smirni|University of California Irvine
Jérôme Gensel|Maastricht University
Stefano Borgo|Boston College
Max Bramer|University of Florida
Mishkin Berteig|Université catholique de Louvain
Fabrizio Silvestri|Drexel University
Sergey Verlan|University of Illinois at Chicago
Peter Briggs|Tongji University
Jesús Contreras|University of Illinois at Chicago
Terry Gaasterland|Duke University
Jaap Kamps|San Diego State University
Reinaldo Morabito|Dalian University of Technology
Santanu Chatterjee|University of St Andrews
Alberto Sillitti|University of Toronto
James W. Gray III|York University
Shui Yu|University of Turin
Hajer Bargaoui|Wuhan University
Juliette Poggi|Bielefeld University
Sabin Kafle|University College London
François B. Vernadat|University of Kiel
Petr Tuma 0001|University of Michigan Ann Arbor
Harry Chandra Tanuwidjaja|Australian National University
Stéphane Vialle|Rockefeller University
Peter Bertók|Yokohama National University
André Thayse|University of Lausanne
Chengzheng Sun|University of Hong Kong
Livio Pompianu|University of Verona
Albert Rego|Fudan University
Matthieu Roy|Fudan University
Fredrik Valeur|University of Alabama   Tuscaloosa
Imre J. Rudas|University College Cork
Martin Held|University of Minnesota Twin Cities
Julia Sarah Hagel|Pusan National University
Romain Jaouen|Stellenbosch University
Benoît Parrein|Sogang University
Sergiy Butenko|Niigata University
Yasemin Afacan|Tokyo Medical and Dental University
Luisa Lanfranco|Pusan National University
Ling Liu 0001|Hokkaido University
Liehuang Zhu|University of Twente
Manuel Munier|Karolinska Institute
Sahar Smaali|Central South University
François Tardieu|University of Oulu
Jameson L. Toole|McGill University
João W. Cangussu|Washington State University Pullman
Andrew Krizhanovsky|University of Liverpool
